Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
466.7265911102,0.0024012288,466.7265911102,0.0004563924,466.7265911102,0.0024442164,466.7265911102,10.7616271407,466.7265911102,-1069.2383728593,466.7265911102,-4.5134531825,466.7265911102,0.0774269988
466.7869882584,0.0024939848,466.7869882584,0.0002180671,466.7869882584,0.0025035002,466.7869882584,4.9970758955,466.7869882584,-1075.0029241045,466.7869882584,-3.9390065855,466.7869882584,1.1493075281
466.8320508003,0.0027346272,466.8320508003,0.0003279918,466.8320508003,0.0027542267,466.8320508003,6.839397796,466.8320508003,-1073.1606022040,466.8320508003,-3.2229439206,466.8320508003,1.4877373656
466.8620007038,0.002809283,466.8620007038,0.000423735,466.8620007038,0.0028410601,466.8620007038,8.5774852696,466.8620007038,-1071.4225147304,466.8620007038,-2.4308542923,466.8620007038,0.4004964916
466.9215283394,0.0024302594,466.9215283394,0.0001344738,466.9215283394,0.0024339769,466.9215283394,3.1671226590,466.9215283394,-1076.832877341,466.9215283394,-1.6261146141,466.9215283394,-1.7595870936
466.9815170765,0.0023476164,466.9815170765,-0.0002207976,466.9815170765,0.0023579767,466.9815170765,-5.3729663582,466.9815170765,-1085.3729663582,466.9815170765,-0.8655574973,466.9815170765,-3.590137987
467.0273556709,0.0029467263,467.0273556709,-0.0001493754,467.0273556709,0.0029505099,467.0273556709,-2.9019535001,467.0273556709,-1082.9019535001,467.0273556709,-0.189133647,467.0273556709,-3.4717578302
467.0863151550,0.0031119256,467.0863151550,0.0003636293,467.0863151550,0.0031330987,467.0863151550,6.6648028607,467.0863151550,-1073.3351971393,467.0863151550,0.3813055445,467.0863151550,-1.1817102297
467.1314644814,0.002546115,467.1314644814,0.0009352047,467.1314644814,0.0027124361,467.1314644814,20.1686148793,467.1314644814,-1059.8313851207,467.1314644814,0.8426972209,467.1314644814,2.2135370249
467.1769382954,0.0019351622,467.1769382954,0.0003319993,467.1769382954,0.0019634348,467.1769382954,9.7349752464,467.1769382954,-1070.2650247536,467.1769382954,1.1981272450,467.1769382954,4.4343200863
467.2364671230,0.0025233702,467.2364671230,-0.0008029954,467.2364671230,0.0026480556,467.2364671230,-17.6522871456,467.2364671230,-1097.6522871456,467.2364671230,1.4605923759,467.2364671230,4.0558069118
467.2809944153,0.0033031998,467.2809944153,-0.0007261384,467.2809944153,0.0033820712,467.2809944153,-12.3980609094,467.2809944153,-1092.3980609094,467.2809944153,1.6416186661,467.2809944153,2.1950351607
467.3258814812,0.0032126577,467.3258814812,0.0005176869,467.3258814812,0.0032541004,467.3258814812,9.1539383522,467.3258814812,-1070.8460616478,467.3258814812,1.7557392072,467.3258814812,0.0040140099
467.3717446327,0.0030350081,467.3717446327,0.0004707437,467.3717446327,0.0030712984,467.3717446327,8.816585931,467.3717446327,-1071.1834140690,467.3717446327,1.8180161745,467.3717446327,-2.0290363317
467.4309692383,0.002378972,467.4309692383,0.0004783815,467.4309692383,0.0024265936,467.4309692383,11.3698325326,467.4309692383,-1068.6301674674,467.4309692383,1.8415776185,467.4309692383,-2.5692639764
467.4760046005,0.0025884851,467.4760046005,-0.0001848091,467.4760046005,0.0025950741,467.4760046005,-4.0837947754,467.4760046005,-1084.0837947754,467.4760046005,1.8349001424,467.4760046005,-1.8554774952
467.5354988575,0.0029997223,467.5354988575,-0.0000368898,467.5354988575,0.0029999492,467.5354988575,-0.7045732913,467.5354988575,-1080.7045732913,467.5354988575,1.8046247585,467.5354988575,0.0273562104
467.5805721283,0.0026949925,467.5805721283,0.0001775501,467.5805721283,0.0027008348,467.5805721283,3.7692842486,467.5805721283,-1076.2307157514,467.5805721283,1.7556240769,467.5805721283,1.5557966549
467.6109969616,0.0025837124,467.6109969616,0.0001446045,467.6109969616,0.0025877558,467.6109969616,3.203372384,467.6109969616,-1076.7966276160,467.6109969616,1.6922580034,467.6109969616,1.4639937207
467.6863229275,0.002749454,467.6863229275,0.0001094528,467.6863229275,0.0027516317,467.6863229275,2.2796804094,467.6863229275,-1077.7203195906,467.6863229275,1.6187318172,467.6863229275,-0.1126023000
467.7163977623,0.0028360828,467.7163977623,0.0000944684,467.7163977623,0.0028376557,467.7163977623,1.9077866238,467.7163977623,-1078.0922133762,467.7163977623,1.5382171218,467.7163977623,-1.8973651236
467.7758193016,0.0029998992,467.7758193016,-0.0000877533,467.7758193016,0.0030011824,467.7758193016,-1.6755433886,467.7758193016,-1081.6755433886,467.7758193016,1.4519404463,467.7758193016,-2.5926501514
